version,point,caught_out_of_500,false_flags_out_of_500
Exp9,strict,430,192
Exp9,loose,481,302
Exp10,strict,105,19
Exp10b,strict,135,27
Exp10b,loose,436,156
Exp11,strict,160,0
a9fix,strict,202,0
a9fix,loose,426,68
